run_id,commit_sha,backbone,layer_path,check,stage,randomised_so_far,n,spearman_mean,spearman_median,frac_zero_cam,verdict,criterion
2026-08-20-run04,4f939a2,googlenet,features.13,cascading_randomisation,classifier,classifier,60,0.8499714022929861,0.8892286020283684,0.0,,
2026-08-20-run04,4f939a2,googlenet,features.13,cascading_randomisation,features.15,classifier|features.15,60,0.801457498193512,0.8314606831297593,0.0,,
2026-08-20-run04,4f939a2,googlenet,features.13,cascading_randomisation,features.14,classifier|features.15|features.14,60,0.7670552285932886,0.8426416858628019,0.0,,
2026-08-20-run04,4f939a2,googlenet,features.13,cascading_randomisation,features.12,classifier|features.15|features.14|features.12,60,0.7087250582683798,0.7429682627936962,0.0,,
2026-08-20-run04,4f939a2,googlenet,features.13,cascading_randomisation,features.10,classifier|features.15|features.14|features.12|features.10,60,0.003309596652187513,-0.029932984216230737,0.0,,
2026-08-20-run04,4f939a2,googlenet,features.13,cascading_randomisation,features.8,classifier|features.15|features.14|features.12|features.10|features.8,60,-0.26587072560513275,-0.2752619536202461,0.0,,
2026-08-20-run04,4f939a2,googlenet,features.13,cascading_randomisation,features.5,classifier|features.15|features.14|features.12|features.10|features.8|features.5,60,-0.29672093263055643,-0.30453981261477103,0.0,,
2026-08-20-run04,4f939a2,googlenet,features.13,cascading_randomisation,features.0,classifier|features.15|features.14|features.12|features.10|features.8|features.5|features.0,60,-0.25497584665496953,-0.2906680834626566,0.0,,
2026-08-20-run04,4f939a2,googlenet,features.13,class_flip_sensitivity,explain_other_class,,60,0.7712092188454759,0.79674252861034,0.0,,
2026-08-20-run04,4f939a2,googlenet,features.13,VERDICT,C1_resolved_layer_all_zero=True|C2_layer_recovers_localisation=True|C3_randomisation_changes_cam=True,,60,-0.25497584665496953,,1.0,artifact,"artifact iff (C1) frac_zero_cam == 1.0 at the resolved layer features.17, AND (C2) some candidate layer has frac_zero_cam == 0.0 and pointing_acc above the per-patch chance rate plus two standard errors, where chance is the mean nodule-mask area fraction over the same 60 samples, AND (C3) mean Spearman between the CAM at that layer and the fully weight-randomised CAM is below 0.5. not_artifact if C1 fails (the resolved layer already produces a usable map). inconclusive otherwise: C1 without C2 means no layer recovers localisation; C1 and C2 without C3 means the recovered map does not depend on the trained weights and is an edge detector."
